Company,Position,GL_Job,Dept
Canadian Niagara Hotels Inc,Rm Att Lead Hand,550111010-Rm Attds,004052-Housekeeping
Canadian Niagara Hotels Inc,Rm Att Lead Hand,550311010-Inspectres,004052-Housekeeping
Canadian Niagara Hotels Inc,Room Att I,550111010-Rm Attds,004052-Housekeeping
Canadian Niagara Hotels Inc,Room Att II,550111010-Rm Attds,004052-Housekeeping
Canadian Niagara Hotels Inc,Room Att II,550411010-Nite Maids,004052-Housekeeping
Canadian Niagara Hotels Inc,Facility Maint Mgr,530511083-Maint Sal,004078-Maint
Canadian Niagara Hotels Inc,Maint Lead Hand,553111083-Maint Wage,004078-Maint
Canadian Niagara Hotels Inc,Maint Mech Sr,553111083-Maint Wage,004078-Maint
Canadian Niagara Hotels Inc,Mechanic I,553111083-Maint Wage,004078-Maint
Canadian Niagara Hotels Inc,Mechanic II,553111083-Maint Wage,004078-Maint
Canadian Niagara Hotels Inc,Painter,553111083-Maint Wage,004078-Maint
Canadian Niagara Hotels Inc,Utility Maint,553122083-Maint Wage,004078-Maint
Canadian Niagara Hotels Inc,Renovations,553211083-Special Pr,004178-Spc Prj
Canadian Niagara Hotels Inc,Receiver,530411020-StoreRm Sa,004500-Receive
Canadian Niagara Hotels Inc,Store Room Att,555011020-StoreRm Wg RBR,004500-Receive
Canadian Niagara Hotels Inc,Asst Dining Rm Mgr,510011020-Mgmt Sal,004501-Rainbow D_ Room
Canadian Niagara Hotels Inc,Bartender,554111020-Bartender,004501-Rainbow D_ Room
Canadian Niagara Hotels Inc,Busperson,554911020-Bus Person,004501-Rainbow D_ Room
Canadian Niagara Hotels Inc,Director of F&B,510011020-Mgmt Sal,004501-Rainbow D_ Room
Canadian Niagara Hotels Inc,FOH Supervisor,520011020- Supr Wage,004501-Rainbow D_ Room
Canadian Niagara Hotels Inc,Host,546011020-Host Wage,004501-Rainbow D_ Room
Canadian Niagara Hotels Inc,Manager,510011020-Mgmt Sal,004501-Rainbow D_ Room
Canadian Niagara Hotels Inc,Restaurant Super,520011020- Supr Wage,004501-Rainbow D_ Room
Canadian Niagara Hotels Inc,Server,554411020-Servers,004501-Rainbow D_ Room
Canadian Niagara Hotels Inc,Supervisor,520011020- Supr Wage,004501-Rainbow D_ Room
Canadian Niagara Hotels Inc,Server_Sommelier,554411020-Servers,004502 Crowne Dining Room
Canadian Niagara Hotels Inc,Banquet Captain,554311025-Porters,004506-Banquets
Canadian Niagara Hotels Inc,Porter,554311025-Porters,004506-Banquets
Canadian Niagara Hotels Inc,Server,554411025-Servers,004506-Banquets
Canadian Niagara Hotels Inc,Chef de Partie,551111020-Cooks,004508-Cooks
Canadian Niagara Hotels Inc,Commis Chef,551111020-Cooks,004508-Cooks
Canadian Niagara Hotels Inc,Cook I,551111020-Cooks,004508-Cooks
Canadian Niagara Hotels Inc,Cook II,551111020-Cooks,004508-Cooks
Canadian Niagara Hotels Inc,Cook III,551111020-Cooks,004508-Cooks
Canadian Niagara Hotels Inc,Cook III,551111020-Cooks,004508-Cooks
Canadian Niagara Hotels Inc,Cook IV,551111020-Cooks,004508-Cooks
Canadian Niagara Hotels Inc,Crowne Sous Chef,511511025-Sous Chef,004508-Cooks
Canadian Niagara Hotels Inc,Demi-Chef de Partie,551111020-Cooks,004508-Cooks
Canadian Niagara Hotels Inc,Executive Chef,511011020-Exec Chef Sal,004508-Cooks
Canadian Niagara Hotels Inc,Sous Chef,511511020-Sous Chef,004508-Cooks
Canadian Niagara Hotels Inc,Steward,554611020-Dishwasher,004509-Stewards
Canadian Niagara Hotels Inc,Barista,554511045-Caf� Baris,004580-Starbucks
Canadian Niagara Hotels Inc,Crowne Starbucks Mgr.,530011045-Sal,004580-Starbucks
Canadian Niagara Hotels Inc,Supervisor,554511045-Caf� Baris,004580-Starbucks
Canadian Niagara Hotels Inc,Aquatics Mgr,510045060-Mgmt Sal,005001-Aquatics
Canadian Niagara Hotels Inc,Aquatics Sup,510045060-Mgmt Sal,005001-Aquatics
Canadian Niagara Hotels Inc,Lifeguard,540845060-Life Guard,005001-Aquatics
Canadian Niagara Hotels Inc,Slide Attendant,540545060-Attd Wage,005001-Aquatics
Canadian Niagara Hotels Inc,Supervisor,520045060-Spvr Wage,005001-Aquatics
Canadian Niagara Hotels Inc,Supervisor,540845060-Life Guard,005001-Aquatics
Canadian Niagara Hotels Inc,Asst Manager,510045060-Mgmt Sal,005051-Guest Services
Canadian Niagara Hotels Inc,Guest Serv Mgr,510045060-Mgmt Sal,005051-Guest Services
Canadian Niagara Hotels Inc,Guest Serv Sup,545945060-Guest Srvc,005051-Guest Services
Canadian Niagara Hotels Inc,Guest Service Agent,545945060-Guest Srvc,005051-Guest Services
Canadian Niagara Hotels Inc,Cleaner,553045060-Cleaning W,005054-Cleaning
Canadian Niagara Hotels Inc,Cleaner Lead Hand,553045060-Cleaning W,005054-Cleaning
Canadian Niagara Hotels Inc,Cleaning Sup,553045060-Cleaning W,005054-Cleaning
Canadian Niagara Hotels Inc,Asst.Maint Mgr,510045083-Mgmt Sal,005078-Maintenance
Canadian Niagara Hotels Inc,Cas Facil Maint,510045083-Mgmt Sal,005078-Maintenance
Canadian Niagara Hotels Inc,Lead Hand,540645083-Maint Wage,005078-Maintenance
Canadian Niagara Hotels Inc,Maint Mechanic,540645083-Maint Wage,005078-Maintenance
Canadian Niagara Hotels Inc,WP Maint Mgr,510045083-Mgmt Sal,005078-Maintenance
Canadian Niagara Hotels Inc,WP Maintenance,540645083-Maint Wage,005078-Maintenance
Canadian Niagara Hotels Inc,Asst Manager,510045020-Mgmt Sal,005501-F & B
Canadian Niagara Hotels Inc,F&B Attendant,545245020-FB Counter,005501-F & B
Canadian Niagara Hotels Inc,F&B Supervisor,545245020-FB Counter,005501-F & B
Canadian Niagara Hotels Inc,General Manager,510045060-Mgmt Sal,005700-Administration
Canadian Niagara Hotels Inc,Sales Manager,510045060-Mgmt Sal,005700-Administration
Canadian Niagara Hotels Inc,WP Sales Admin,2658-HRC-Maint & Rep,005700-Administration
Canadian Niagara Hotels Inc,General Manager,510012010-Mgmt Sal,006051-Front Desk
Canadian Niagara Hotels Inc,Guest Serv Mgr,510012010-Mgmt Sal,006051-Front Desk
Canadian Niagara Hotels Inc,Guest Serv Sup,540212010-F_O Wage,006051-Front Desk
Canadian Niagara Hotels Inc,Guest Service Agent,540212010-F_O Wage,006051-Front Desk
Canadian Niagara Hotels Inc,Night Auditor,540312010-N_Audit Wa,006051-Front Desk
Canadian Niagara Hotels Inc,Peacekeeper,545912010-Guest Serv,006051-Front Desk
Canadian Niagara Hotels Inc,Exec. Housekeeper,530112010-H_Keep Sal,006052-Housekeeping
Canadian Niagara Hotels Inc,Houseperson,550212010-Housemen,006052-Housekeeping
Canadian Niagara Hotels Inc,Houseperson LH,550212010-Housemen,006052-Housekeeping
Canadian Niagara Hotels Inc,Houseperson_Nigh,550212010-Housemen,006052-Housekeeping
Canadian Niagara Hotels Inc,Hskp Supervisor,530112010-H_Keep Sal,006052-Housekeeping
Canadian Niagara Hotels Inc,Room Att I,550112010-Rm Attds,006052-Housekeeping
Canadian Niagara Hotels Inc,Supervisor,541412010 Skyline GSA SUP,006052-Housekeeping
Canadian Niagara Hotels Inc,Engineering Mgr,530512083-Maint Sal,006078-Maintenance
Canadian Niagara Hotels Inc,Maint Mech I,553112083-Maint Wage,006078-Maintenance
Canadian Niagara Hotels Inc,Maint Mech II,553112083-Maint Wage,006078-Maintenance
Canadian Niagara Hotels Inc,Maint Utility,553112083-Maint Wage,006078-Maintenance
